USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23044 14356 ?        Ss   01:10   0:00 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    01:10   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    01:10   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/u64:0-btrfs-endio-write]
root          13  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-mm_percpu_wq]
root          15  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/0]
root          16  0.0  0.0      0     0 ?        I    01:10   0:00 [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    01:10   0:00 [rcub/0]
root          18  0.0  0.0      0     0 ?        S    01:10   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          19  0.0  0.0      0     0 ?        S    01:10   0:00 [rcu_exp_gp_kthread_worker]
root          20  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/2]
root          24  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/2]
root          25  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/2]
root          26  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/4]
root          30  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/4]
root          31  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/4]
root          32  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/4]
root          34  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/4:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/6]
